wl,n
0.4000,2.332119801394
0.4460,2.2841091169975
0.4920,2.2529144056955
0.5380,2.2311067807334
0.5840,2.2150833530927
0.6300,2.2028663592281
0.6760,2.1932760172958
0.7220,2.1855648550786
0.7680,2.1792369769463
0.8140,2.1739511285629
0.8600,2.1694653373023
0.9060,2.1656036768916
0.9520,2.1622354823171
0.9980,2.1592618994587
1.044,2.1566069246167
1.090,2.1542112836287
1.136,2.1520281581568
1.182,2.1500201434965
1.228,2.1481570454747
1.274,2.1464142602067
1.320,2.1447715658095
1.366,2.1432122098666
1.412,2.141722212261
1.458,2.140289826882
1.504,2.1389051219386
1.550,2.1375596497856
1.596,2.1362461849982
1.642,2.1349585149675
1.688,2.1336912712707
1.734,2.132439792954
1.780,2.1312000149834
1.826,2.1299683766865
1.872,2.1287417461785
1.918,2.1275173576519
1.964,2.1262927590779
2.010,2.1250657683842
2.056,2.1238344365698
2.102,2.1225970165245
2.148,2.121351936565
2.194,2.1200977778854
2.240,2.1188332552725
2.286,2.1175572005543
2.332,2.116268548346
2.378,2.114966323735
2.424,2.1136496316074
2.470,2.112317647369
2.516,2.1109696088562
2.562,2.1096048092635
2.608,2.1082225909433
2.654,2.1068223399566
2.700,2.1054034812704
2.746,2.1039654745164
2.792,2.1025078102338
2.838,2.1010300065357
2.884,2.0995316061428
2.930,2.0980121737383
2.976,2.096471293605
3.022,2.0949085675076
3.068,2.0933236127939
3.114,2.0917160606851
3.160,2.0900855547355
3.206,2.0884317494416
3.252,2.0867543089818
3.298,2.0850529060741
3.344,2.0833272209373
3.390,2.0815769403441
3.436,2.0798017567574
3.482,2.0780013675388
3.528,2.0761754742236
3.574,2.0743237818537
3.620,2.0724459983629
3.666,2.0705418340098
3.712,2.0686110008512
3.758,2.066653212255
3.804,2.0646681824457
3.850,2.0626556260801
3.896,2.0606152578516
3.942,2.0585467921174
3.988,2.0564499425483
4.034,2.0543244217987
4.080,2.0521699411931
4.126,2.0499862104297
4.172,2.0477729372973
4.218,2.0455298274049
4.264,2.0432565839234
4.310,2.0409529073358
4.356,2.0386184951984
4.402,2.0362530419073
4.448,2.0338562384744
4.494,2.0314277723071
4.540,2.028967326995
4.586,2.0264745820995
4.632,2.0239492129486
4.678,2.0213908904334
4.724,2.0187992808082
4.770,2.0161740454917
4.816,2.0135148408702
4.862,2.0108213181012
4.908,2.0080931229174
4.954,2.0053298954313
5.000,2.0025312699385
