wl,n
0.4800,2.7800702257256
0.5002,2.7321911258978
0.5204,2.69452105132
0.5406,2.664165805377
0.5608,2.6392283820183
0.5810,2.6184131941827
0.6012,2.6008051739044
0.6214,2.5857396732533
0.6416,2.5727223667573
0.6618,2.5613780637362
0.6820,2.5514169379259
0.7022,2.5426116267477
0.7224,2.5347813243095
0.7426,2.5277804961781
0.7628,2.5214907213649
0.7830,2.5158146951639
0.8032,2.510671753458
0.8234,2.505994486608
0.8436,2.501726145711
0.8638,2.4978186331961
0.8840,2.4942309298843
0.9042,2.4909278519065
0.9244,2.4878790596172
0.9446,2.4850582609539
0.9648,2.4824425662269
0.9850,2.4800119618624
1.005,2.4777705159007
1.025,2.4756782509634
1.046,2.473627383346
1.066,2.4718009453082
1.086,2.4700875162797
1.106,2.4684777308912
1.126,2.4669631948567
1.147,2.4654672003331
1.167,2.4641251583662
1.187,2.4628575969742
1.207,2.4616589880799
1.227,2.4605243166752
1.248,2.4593967417464
1.268,2.4583793338213
1.288,2.4574131816694
1.308,2.4564948360997
1.328,2.4556211380001
1.349,2.4547486388899
1.369,2.4539576643657
1.389,2.4532032076263
1.409,2.4524830188495
1.429,2.4517950213512
1.450,2.45110517154
1.470,2.4504773215584
1.490,2.4498762413305
1.510,2.4493004089318
1.530,2.4487484104687
1.551,2.4481930257113
1.571,2.4476858746695
1.591,2.447198821691
1.611,2.4467308054301
1.631,2.4462808344935
1.652,2.4458267728474
1.672,2.4454109618719
1.692,2.4450105497758
1.712,2.4446247770253
1.732,2.4442529308288
1.753,2.4438767487831
1.773,2.4435314029156
1.793,2.4431980640251
1.813,2.4428761763352
1.833,2.4425652161587
1.854,2.4422499287685
1.874,2.4419598566319
1.894,2.4416792908318
1.914,2.4414078167353
1.934,2.4411450422625
1.955,2.4408780863718
1.975,2.4406320078758
1.995,2.4403935577751
2.015,2.4401624214246
2.035,2.4399383003612
2.056,2.4397102136864
2.076,2.4394996039594
2.096,2.4392951891707
2.116,2.4390967269212
2.136,2.4389039866364
2.157,2.4387075276384
2.177,2.4385258428276
2.197,2.4383492428307
2.217,2.4381775383735
2.237,2.4380105489636
2.258,2.4378400963453
2.278,2.4376822430225
2.298,2.4375286035853
2.318,2.4373790284401
2.338,2.4372333746126
2.359,2.4370845089126
2.379,2.4369464729063
2.399,2.4368119594987
2.419,2.4366808491567
2.439,2.4365530274026
2.460,2.436422233958
2.480,2.4363008159129
2.500,2.4361823659414
