wl,n
1.033E-1,3.27E-1
1.078E-1,3.63E-1
1.127E-1,3.92E-1
1.181E-1,4.23E-1
1.240E-1,4.59E-1
1.305E-1,4.97E-1
1.378E-1,5.43E-1
1.459E-1,5.97E-1
1.550E-1,6.60E-1
1.653E-1,7.35E-1
1.771E-1,8.32E-1
1.907E-1,9.51E-1
2.066E-1,1.11E+0
2.254E-1,1.35E+0
2.480E-1,1.69E+0
2.583E-1,1.86E+0
2.695E-1,2.07E+0
2.818E-1,2.30E+0
2.952E-1,2.56E+0
3.100E-1,2.87E+0
3.263E-1,3.21E+0
3.444E-1,3.55E+0
3.543E-1,3.73E+0
3.647E-1,3.90E+0
3.875E-1,4.17E+0
4.133E-1,4.38E+0
4.428E-1,4.47E+0
4.769E-1,4.49E+0
4.960E-1,4.47E+0
5.166E-1,4.46E+0
5.636E-1,4.36E+0
6.199E-1,4.23E+0
6.526E-1,4.17E+0
6.888E-1,4.09E+0
7.293E-1,4.01E+0
7.749E-1,3.93E+0
8.266E-1,3.86E+0
8.856E-1,3.77E+0
9.538E-1,3.68E+0
1.033E+0,3.61E+0
1.127E+0,3.57E+0
1.240E+0,3.54E+0
1.378E+0,3.50E+0
1.550E+0,3.48E+0
1.771E+0,3.45E+0
2.066E+0,3.44E+0
