wl,k
1.033E-1,7.26E-1
1.078E-1,8.47E-1
1.127E-1,9.46E-1
1.181E-1,1.04E+0
1.240E-1,1.14E+0
1.305E-1,1.24E+0
1.378E-1,1.35E+0
1.459E-1,1.47E+0
1.550E-1,1.60E+0
1.653E-1,1.74E+0
1.771E-1,1.89E+0
1.907E-1,2.07E+0
2.066E-1,2.28E+0
2.254E-1,2.51E+0
2.480E-1,2.76E+0
2.583E-1,2.85E+0
2.695E-1,2.93E+0
2.818E-1,2.99E+0
2.952E-1,3.04E+0
3.100E-1,3.06E+0
3.263E-1,3.00E+0
3.444E-1,2.88E+0
3.543E-1,2.79E+0
3.647E-1,2.66E+0
3.875E-1,2.38E+0
4.133E-1,2.02E+0
4.428E-1,1.64E+0
4.769E-1,1.28E+0
4.960E-1,1.12E+0
5.166E-1,9.69E-1
5.636E-1,6.90E-1
6.199E-1,4.61E-1
6.526E-1,3.63E-1
6.888E-1,2.71E-1
7.293E-1,1.99E-1
7.749E-1,1.36E-1
8.266E-1,8.12E-2
8.856E-1,4.01E-2
9.538E-1,0.00E+0
1.033E+0,0.00E+0
1.127E+0,0.00E+0
1.240E+0,0.00E+0
1.378E+0,0.00E+0
1.550E+0,0.00E+0
1.771E+0,0.00E+0
2.066E+0,0.00E+0
