wl,n
0.199974496,2.862916245
0.206640312,2.817567588
0.21376584,2.77148488
0.221400335,2.727705996
0.229600347,2.690741533
0.23843113,2.666955193
0.247968375,2.63873644
0.25830039,2.605956638
0.269530842,2.5817649
0.281782244,2.560884613
0.295200446,2.541324458
0.309960469,2.523632303
0.326274177,2.505813241
0.344400521,2.487866556
0.364659375,2.473323675
0.387450586,2.464986815
0.413280625,2.455051934
0.442800669,2.441251728
0.476862259,2.431478974
0.516600781,2.427076431
0.563564488,2.420857286
0.619920937,2.411429037
0.688801041,2.406543164
0.774901171,2.406202402
0.885601339,2.400035416
1.033201562,2.390522955
1.239841874,2.388124787
1.549802343,2.387783491
2.066403124,2.38324149
3.099604686,2.378520549
6.199209372,2.378175771
10.00000000,2.377833047
