,Mode Coeff,Statistic,Mechanism,MUF,cbe10hr180306
0,0,0,0,0,0
1,1,0,0,0,0
2,2,0,0,0,0.4
3,3,0,0,0,0
4,4,0,0,0,0
5,5,0,0,0,0.1
6,6,0,0,0,0.1
7,7,0,0,0,0
8,8,0,0,0,0
9,9,0,0,0,0
10,10,0,0,0,0
11,11,0,0,0,0
12,12,0,0,0,0
13,13,0,0,0,0
14,14,0,0,0,0
15,15,0,0,0,0
16,16,0,0,0,0
17,17,0,0,0,0
18,18,0,0,0,0
19,19,0,0,0,0
20,20,0,0,0,0
21,0,1,0,0,0
22,1,1,0,0,0
23,2,1,0,0,0.8
24,3,1,0,0,0.1
25,4,1,0,0,0.1
26,5,1,0,0,0.1
27,6,1,0,0,0.1
28,7,1,0,0,0
29,8,1,0,0,0
30,9,1,0,0,0
31,10,1,0,0,0
32,11,1,0,0,0
33,12,1,0,0,0
34,13,1,0,0,0
35,14,1,0,0,0
36,15,1,0,0,0
37,16,1,0,0,0
38,17,1,0,0,0
39,18,1,0,0,0
40,19,1,0,0,0
41,20,1,0,0,0
42,0,2,0,0,0
43,1,2,0,0,0
44,2,2,0,0,2.9
45,3,2,0,0,0
46,4,2,0,0,0.1
47,5,2,0,0,0.4
48,6,2,0,0,0.1
49,7,2,0,0,0
50,8,2,0,0,0
51,9,2,0,0,0
52,10,2,0,0,0
53,11,2,0,0,0
54,12,2,0,0,0
55,13,2,0,0,0
56,14,2,0,0,0
57,15,2,0,0,0
58,16,2,0,0,0
59,17,2,0,0,0
60,18,2,0,0,0
61,19,2,0,0,0
62,20,2,0,0,0
63,0,3,0,0,0
64,1,3,0,0,0
65,2,3,0,0,0.8
66,3,3,0,0,0.1
67,4,3,0,0,0.1
68,5,3,0,0,0.1
69,6,3,0,0,0.1
70,7,3,0,0,0
71,8,3,0,0,0
72,9,3,0,0,0
73,10,3,0,0,0
74,11,3,0,0,0
75,12,3,0,0,0
76,13,3,0,0,0
77,14,3,0,0,0
78,15,3,0,0,0
79,16,3,0,0,0
80,17,3,0,0,0
81,18,3,0,0,0
82,19,3,0,0,0
83,20,3,0,0,0
84,0,0,1,0,0
85,1,0,1,0,0
86,2,0,1,0,0
87,3,0,1,0,0
88,4,0,1,0,0
89,5,0,1,0,0
90,6,0,1,0,0
91,7,0,1,0,0
92,8,0,1,0,0
93,9,0,1,0,0
94,10,0,1,0,1.8
95,11,0,1,0,0.9
96,12,0,1,0,16.2
97,13,0,1,0,0.3
98,14,0,1,0,0.1
99,15,0,1,0,0.1
100,16,0,1,0,0.3
101,17,0,1,0,0
102,18,0,1,0,0
103,19,0,1,0,0
104,20,0,1,0,0
105,0,1,1,0,0
106,1,1,1,0,0
107,2,1,1,0,0
108,3,1,1,0,0
109,4,1,1,0,0
110,5,1,1,0,0
111,6,1,1,0,0
112,7,1,1,0,0
113,8,1,1,0,0
114,9,1,1,0,0
115,10,1,1,0,2.7
116,11,1,1,0,5.3
117,12,1,1,0,8.5
118,13,1,1,0,4.6
119,14,1,1,0,0.5
120,15,1,1,0,0.1
121,16,1,1,0,0.3
122,17,1,1,0,0
123,18,1,1,0,0
124,19,1,1,0,0
125,20,1,1,0,0
126,0,2,1,0,0
127,1,2,1,0,0
128,2,2,1,0,0
129,3,2,1,0,0
130,4,2,1,0,0
131,5,2,1,0,0
132,6,2,1,0,0
133,7,2,1,0,0
134,8,2,1,0,0
135,9,2,1,0,0
136,10,2,1,0,6
137,11,2,1,0,12.9
138,12,2,1,0,8.8
139,13,2,1,0,14.5
140,14,2,1,0,1.1
141,15,2,1,0,0
142,16,2,1,0,2.9
143,17,2,1,0,0
144,18,2,1,0,0
145,19,2,1,0,0
146,20,2,1,0,0
147,0,3,1,0,0
148,1,3,1,0,0
149,2,3,1,0,0
150,3,3,1,0,0
151,4,3,1,0,0
152,5,3,1,0,0
153,6,3,1,0,0
154,7,3,1,0,0
155,8,3,1,0,0
156,9,3,1,0,0
157,10,3,1,0,2.7
158,11,3,1,0,5.3
159,12,3,1,0,8.5
160,13,3,1,0,4.6
161,14,3,1,0,0.5
162,15,3,1,0,0.1
163,16,3,1,0,0.3
164,17,3,1,0,0
165,18,3,1,0,0
166,19,3,1,0,0
167,20,3,1,0,0
168,0,0,2,0,0
169,1,0,2,0,0
170,2,0,2,0,0
171,3,0,2,0,0
172,4,0,2,0,0
173,5,0,2,0,0
174,6,0,2,0,0
175,7,0,2,0,0
176,8,0,2,0,0
177,9,0,2,0,0
178,10,0,2,0,0
179,11,0,2,0,0
180,12,0,2,0,0
181,13,0,2,0,0
182,14,0,2,0,0
183,15,0,2,0,0
184,16,0,2,0,0
185,17,0,2,0,0.018
186,18,0,2,0,0.14
187,19,0,2,0,0
188,20,0,2,0,0
189,0,1,2,0,0
190,1,1,2,0,0
191,2,1,2,0,0
192,3,1,2,0,0
193,4,1,2,0,0
194,5,1,2,0,0
195,6,1,2,0,0
196,7,1,2,0,0
197,8,1,2,0,0
198,9,1,2,0,0
199,10,1,2,0,0
200,11,1,2,0,0
201,12,1,2,0,0
202,13,1,2,0,0
203,14,1,2,0,0
204,15,1,2,0,0
205,16,1,2,0,0
206,17,1,2,0,0
207,18,1,2,0,0
208,19,1,2,0,0
209,20,1,2,0,0
210,0,2,2,0,0
211,1,2,2,0,0
212,2,2,2,0,0
213,3,2,2,0,0
214,4,2,2,0,0
215,5,2,2,0,0
216,6,2,2,0,0
217,7,2,2,0,0
218,8,2,2,0,0
219,9,2,2,0,0
220,10,2,2,0,0
221,11,2,2,0,0
222,12,2,2,0,0
223,13,2,2,0,0
224,14,2,2,0,0
225,15,2,2,0,0
226,16,2,2,0,0
227,17,2,2,0,0.07
228,18,2,2,0,0.04
229,19,2,2,0,0
230,20,2,2,0,0
231,0,3,2,0,0
232,1,3,2,0,0
233,2,3,2,0,0
234,3,3,2,0,0
235,4,3,2,0,0
236,5,3,2,0,0
237,6,3,2,0,0
238,7,3,2,0,0
239,8,3,2,0,0
240,9,3,2,0,0
241,10,3,2,0,0
242,11,3,2,0,0
243,12,3,2,0,0
244,13,3,2,0,0
245,14,3,2,0,0
246,15,3,2,0,0
247,16,3,2,0,0
248,17,3,2,0,0
249,18,3,2,0,0
250,19,3,2,0,0
251,20,3,2,0,0
252,0,0,3,0,0
253,1,0,3,0,0
254,2,0,3,0,0
255,3,0,3,0,0
256,4,0,3,0,0
257,5,0,3,0,0
258,6,0,3,0,0
259,7,0,3,0,0
260,8,0,3,0,0
261,9,0,3,0,0
262,10,0,3,0,0
263,11,0,3,0,0
264,12,0,3,0,0
265,13,0,3,0,0
266,14,0,3,0,0
267,15,0,3,0,0
268,16,0,3,0,0
269,17,0,3,0,0
270,18,0,3,0,0
271,19,0,3,0,0
272,20,0,3,0,0
273,0,1,3,0,0.456070170039655
274,1,1,3,0,0.35
275,2,1,3,0,0
276,3,1,3,0,0
277,4,1,3,0,0
278,5,1,3,0,0
279,6,1,3,0,0
280,7,1,3,0,0
281,8,1,3,0,0
282,9,1,3,0,0
283,10,1,3,0,0
284,11,1,3,0,0
285,12,1,3,0,0
286,13,1,3,0,0
287,14,1,3,0,0
288,15,1,3,0,0
289,16,1,3,0,0
290,17,1,3,0,0
291,18,1,3,0,0
292,19,1,3,0,0
293,20,1,3,0,0
294,0,2,3,0,0
295,1,2,3,0,0
296,2,2,3,0,0
297,3,2,3,0,0
298,4,2,3,0,0
