lambda_m ,Eph_J,a0v,a5v,f5v,g0v,g5v,k0v,k5v,m0v,m5v
2.5000000000000000E-07,7.9457711097600000E-19,4.0141385007278000E-02,2.0960130000000000E-02,6.5076220000000000E-03,5.4341830000000000E-03,1.8621420000000000E-03,1.3620110000000000E-04,7.3533510000000000E-05,8.7033180000000000E-05,1.3779330000000000E-04
2.5100000000000000E-07,7.9141146511553800E-19,4.0067627636363500E-02,2.0212390000000000E-02,6.2224980000000000E-03,4.9113990000000000E-03,1.6954460000000000E-03,1.4309360000000000E-04,6.7596130000000000E-05,1.0786340000000000E-04,1.7077030000000000E-04
2.5200000000000000E-07,7.8827094342857100E-19,3.8142772925764200E-02,1.9465010000000000E-02,5.9373720000000000E-03,4.3886140000000000E-03,1.3300750000000000E-03,1.1679860000000000E-04,4.1148490000000000E-05,8.4434370000000000E-05,1.3367800000000000E-04
2.5300000000000000E-07,7.8515524800000000E-19,3.4623500000000000E-02,1.7730630000000000E-02,5.2513250000000000E-03,3.9963440000000000E-03,1.3734050000000000E-03,1.6068810000000000E-04,8.0889410000000000E-05,1.0627670000000000E-04,1.6826100000000000E-04
2.5400000000000000E-07,7.8206408560629900E-19,3.3677139737991300E-02,1.5996620000000000E-02,4.5649130000000000E-03,3.6044020000000000E-03,1.6861690000000000E-03,2.2696780000000000E-04,7.8534940000000000E-05,1.5571920000000000E-04,2.4654270000000000E-04
2.5500000000000000E-07,7.7899716762353000E-19,3.3362731441048000E-02,1.7611190000000000E-02,4.9195890000000000E-03,4.5716250000000000E-03,1.9005960000000000E-03,2.4909150000000000E-04,8.6238170000000000E-05,1.6154220000000000E-04,2.5575660000000000E-04
2.5600000000000000E-07,7.7595420993750000E-19,3.8476650655021700E-02,1.9225750000000000E-02,5.2742650000000000E-03,5.5384480000000000E-03,2.6693550000000000E-03,2.3100760000000000E-04,1.0774290000000000E-04,1.4953480000000000E-04,2.3674980000000000E-04
2.5700000000000000E-07,7.7293493285603100E-19,3.9769470160116400E-02,2.0571470000000000E-02,6.5061660000000000E-03,6.5592250000000000E-03,3.8090510000000000E-03,2.5735370000000000E-04,9.5692630000000000E-05,1.8021100000000000E-04,2.8531390000000000E-04
2.5800000000000000E-07,7.6993906102325600E-19,3.9075408296943200E-02,2.1916820000000000E-02,7.7380660000000000E-03,7.5800030000000000E-03,4.3700400000000000E-03,2.1445410000000000E-04,1.1688290000000000E-05,9.7858560000000000E-05,1.5493550000000000E-04
2.5900000000000000E-07,7.6696632333590700E-19,3.9034710334788900E-02,2.1511710000000000E-02,7.8961040000000000E-03,7.3040280000000000E-03,4.1754040000000000E-03,2.6447250000000000E-04,1.1038980000000000E-04,1.1646590000000000E-04,1.8439080000000000E-04
2.6000000000000000E-07,7.6401645286153900E-19,3.5144144104803500E-02,2.1106610000000000E-02,8.0541430000000000E-03,7.0284190000000000E-03,2.2076850000000000E-03,2.9982220000000000E-04,1.5206480000000000E-04,1.3112630000000000E-04,2.0760400000000000E-04
2.6100000000000000E-07,7.6108918675862100E-19,3.6658139737991300E-02,2.0853830000000000E-02,7.4460220000000000E-03,6.4925100000000000E-03,2.5135010000000000E-03,3.0137820000000000E-04,1.8620100000000000E-04,1.0786710000000000E-04,1.7077760000000000E-04
2.6200000000000000E-07,7.5818426619847300E-19,3.7885989810771400E-02,2.0601050000000000E-02,6.8379010000000000E-03,5.9569670000000000E-03,3.2667980000000000E-03,3.2236960000000000E-04,1.8506770000000000E-04,2.3601500000000000E-04,3.7365440000000000E-04
